Name,Quantity,Component
"U1, U2",2," Arduino Uno R3"
"PING1",1," Ultrasonic Distance Sensor"
"SERVO1",1,"Positional Micro Servo"
"PIR1",1,"-3.651413186287641 , -190.29843261225835 , -151.61364581348164 , -151.60848814448667  PIR Sensor"
"M1",1," DC Motor"
"K1, K2",2," Relay SPDT"
"P1",1,"15.399999999999999 , 5  Power Supply"
"S1",1," Slideswitch"
"R1",1," Photoresistor"
"R2",1,"1 kΩ Resistor"
"L1, L2",2," Light bulb"
"GAS1",1," Gas Sensor"
"PIEZO1",1," Piezo"
"R3",1,"5 kΩ Resistor"
"KEYPAD1",1," Keypad 4x4"
